AR_id,Numero_notice,ISBN
693,0002613995,2764603207
694,0000623357,2764602405
695,0005436709,9782764624692
696,0005072331,9782764624104
697,0004139403,9782764621691
699,0003867033,9782764620373
700,0003255653,9782764605172
701,0003609612,9782764606216
702,0003665899,9782764606629
703,0003816875,9782764620090
704,0004548905,9782764622810
705,0003804893,9782764607046
706,0006324380,9782764626382
707,0006115834,9782764625910
708,0006581882,2764626886
709,0005966867,9782764625736
710,0003005686,2764603878
711,0005572275,9782764624999
712,0006324383,2764626401
713,0004649205,9782764623220
714,0000603802,2841873854
715,0003839641,9782764620281
716,0003539143,9782764606063
717,0004543485,9782764622803
718,0004521789,9782764622612
719,0005605173,9782764624944
720,0003657407,9782764606421
721,0000617318,2764601875
722,0005727167,9782764625255
723,0004354780,9782764622162
724,0003729161,9782764606704
725,0000566919,2764600496
726,0002901604,2764603517
727,0005625043,9782764625156
728,0005625047,9782764624975
729,0004265809,9782764621943
730,0006608380,2764626908
731,0003214997,9782764605011
732,0005612857,9782764625019
733,0000626431,9782764602454
734,0003512485,9782764605585
735,0006268458,2764626177
736,0003739542,9782764606780
737,0000617313,2764601891
738,0003094337,2764604513
739,0004204385,9782764605714
740,0002855545,2764603495
741,0003868266,9782764620397
742,0006324381,2764626363
743,0000603814,2764601530
744,0004071488,9782764621110
745,0003101908,2764604386
746,0003155567,2764604637
747,0003598588,9782764606162
748,0003266609,9782764605233
749,0000561284,2764600313
750,0003972189,9782764620816
751,0005960624,9782764625668
753,0004724424,2764626460
754,0003998954,9782764620892
755,0004354218,9782764622148
756,0003347466,9782764605394
757,0004284966,9782764621073
758,0006111470,2764625901
759,0003226213,9782764605257
760,0005284950,9782764624579
761,0000603806,2764601271
762,0004548901,9782764622773
763,0000626927,2764602480
764,0000603823,9782764601815
765,0003525180,9782764605752
766,0005062386,9782764624074
767,0004629173,9782764622940
768,0000603810,2764601638
769,0003546083,9782764605837
770,0000573441,2764600755
771,0000573441,2764601034
772,0000573441,2-7646-0131-X
773,0004166035,9782764621769
774,0000592998,2764601301
775,0003094334,2764604327
776,0002901613,2764603525
777,0003774151,9782764606919
778,0005072314,9782764623831
779,0005431140,9782764624685
780,0005212501,9782764624395
781,0004538993,9782764622766
782,0004859341,9782764623633
783,0002926636,2764603215
784,0006455232,2764626754
785,0002525232,9782764602829
786,0002942416,2764603835
787,0004654213,9782764623206
788,0000561247,2764600100
789,0003333264,9782764605653
790,0002559020,2764602898
791,0004254004,9782764621813
792,0006268453,2764626193
793,0004260491,9782764621844
794,0003614588,9782764606322
795,0003729171,9782764606681
796,0004432682,9782764622155
797,0003774161,9782764606858
798,0003334270,9782764605424
799,0003088251,2764604289
800,0004260997,9782764621806
801,0000593001,2764601220
802,0004350200,9782764622124
803,0003182416,2-7646-0470-X
804,0004751178,9782764623329
805,0003839645,9782764620311
806,0004538988,9782764622667
807,0004666852,9782764623053
808,0005837603,9782764625460
809,0000605757,2764601824
810,0005322186,9782764624517
811,0005204399,9782764624388
812,0005212549,9782764624289
813,0000614472,2020387522
814,0003526565,9782764605783
816,0003739541,9782764606742
817,0003512491,9782764605684
818,0004350204,9782764622131
819,0003816889,9782764620120
820,0005204402,9782764624227
821,0005284979,9782764624432
822,0003978354,9782764620847
823,0003890568,9782764620731
824,0006268225,9782764626160
825,0000617324,2764601948
826,0003553691,9782764605967
827,0002926629,2764603711
828,0004799110,9782764623282
829,0003598594,9782764606193
830,0006262953,2764626304
831,0004071494,9782764621240
832,0003617890,9782764606384
833,0003051466,2764604122
834,0002395105,2020604493
835,0005989403,9782764625767
836,0004260996,9782764621820
837,0005284987,9782764624449
838,0004617458,9782764622902
840,0003890185,9782764620717
841,0004071500,9782764621349
842,0002977379,2764603843
843,0000580268,2764600852
844,0002942411,2764603738
845,0005864968,9782764625620
846,0003339654,9782764605608
847,0003094341,2764604300
848,0002619864,2764602650
849,0002910038,2764603541
850,0004634428,9782764622971
851,0003804909,9782764620014
852,0006324382,2764626347
853,0002551722,9782764602904
854,0002604042,2764602588
855,0003088252,2764604254
856,0003054650,2764604130
857,0003867052,9782764620366
858,0003116510,2-7646-0453-X
859,0003121834,2764604319
860,0005982818,9782764625811
861,0003716865,9782764606599
862,0005982816,9782764625798
863,0006589620,2764626851
864,0003672276,9782764606469
865,0003883936,9782764620700
866,0000573445,2764600712
867,0003609611,9782764606377
868,0005216545,9782764624340
869,0000593005,9782764601181
870,0000617321,9782764602119
871,0005625055,9782764625187
872,0004274538,9782764621981
873,0005882648,2764626231
874,0000587225,2764601190
875,0005854703,9782764625514
876,0003972191,9782764620809
877,0003169394,2764604696
878,0003005677,2764603851
879,0005714668,9782764625231
880,0003101283,2764604580
882,0006258177,2764626150
883,0002614023,2764603053
884,0005174927,9782764624159
885,0002552316,2764602960
886,0002509195,9782764602430
887,0003277598,9782764605288
889,0000644616,9782764602256
890,0000561231,2764600348
893,0006175205,2764626479
894,0000709756,2764602391
896,0005463486,9782764624760
897,0002604038,2764603185
900,0005056661,9782764623770
902,0003723501,9782352942870
903,0006575411,9782811222109
904,0005208965,9782811216672
905,0005065602,9791028102104
906,0005208966,9782811216696
907,0005530546,9782811215170
908,0002522171,2890006247
909,0006395672,9782940516063
910,0006392892,9782940516797
911,0000622224,9782980427046
912,0003357970,9782980427084
913,0004096112,9782981164322
914,0003130015,2923351266
915,0003512546,9782896420179
916,0006352796,9782924646878
917,0004515419,9782924155684
918,0004477203,9782920943681
919,0000589861,2895670005
920,0000589881,2921706989
921,0000589883,2921706970
922,0000582217,2921706903
923,0003130512,2876734346
924,0002650821,2980853801
925,0004910109,9782922420258
926,0005547495,9782922420319
927,0005207171,9782922420272
928,0006394006,9782922420487
929,0006116270,9782922420364
930,0006266755,9782922420418
931,0006116264,9782922420388
932,0006116264,9782922420500
933,0004297896,9782922420180
934,0006266296,9782922420425
935,0006562522,2922420515
943,0004005159,9781456315955
944,0004160810,9781463724160
945,0004067828,1461070104
946,0004160832,9782924057032
947,0004672192,1466262478
948,0003169387,2923438051
949,0003801395,9782923438283
950,0003356485,9782923438108
951,0003159853,2923438043
952,0003169400,2923438078
953,0003169392,2-923438-06-X
954,0003203718,2923438116
955,0003045692,2923438000
956,0003498894,9782923438184
957,0004572504,9782824603308
958,0004544861,9782824603254
959,0004746068,9782923899398
960,0004585852,9782923899183
961,0004500648,9782923899060
962,0004701352,9782923899336
963,0004857645,9782923899664
964,0004848006,9782923899428
965,0004847993,9782923899459
966,0004847993,9782923899480
967,0004847993,9782923899510
968,0005178694,9782924545164
969,0004997232,9782923899756
970,0004176498,9782923865713
971,0003312928,9782920097490
972,0004336526,9782920097537
973,0004336526,9782920097551
974,0004336606,9782920097520
975,0002988863,2920097474
976,0006607421,2898190845
977,0006474845,2898190721
978,0006580096,2898190780
979,0006430270,2898190691
980,0006277747,2898190187
981,0006580098,2898190756
983,0006430271,2898190519
984,0006277746,2898190128
985,0006430272,2898190489
986,0006345873,9782898190247
987,0006345873,9782898190278
988,0006345873,9782898190308
989,0006203306,2898190004
990,0006277745,2898190152
991,0006396466,2898190217
992,0006608357,9782898190872
993,0006258188,2898190063
994,0006277748,2898190098
995,0006258187,2898190039
997,0006344749,9782898190421
1001,0006580097,2898190810
1006,0005159807,9782895293354
1007,0005642095,9782895293422
1008,0005400647,9782895293293
1009,0005413040,9782895293279
1010,0004943058,9782895293163
1011,0004194219,9782896902859
1012,0004273810,9782896903542
1013,0004298346,9782896833740
1014,0004298346,9782896903757
1015,0004298346,9782896903764
1016,0004298346,9782897310028
1017,0004298346,9782897310035
1018,0004298346,9782897310004
1019,0004298346,9782897310011
1020,0004273808,9782896903535
1021,0004194215,9782896902873
1022,0004458908,9782897310387
1023,0004701936,9782897310158
1024,0005344899,9782897318642
1025,0004538211,9782897310233
1026,0005859115,9782897686611
1027,0004194224,9782896902866
